group,t1,t2,t3
experimental,6,7,6.333333333
experimental,6.666666667,7,7
experimental,7,5.333333333,6.666666667
control,7,7,7
control,6,7,6.666666667
control,6.666666667,6,6
experimental,7,7,7
experimental,6,7,7
experimental,5,5.666666667,6
experimental,6,7,7
experimental,7,7,7
experimental,4.95541937,4.666666667,6.333333333
control,7,7,7
experimental,7,7,7
control,7,7,7
control,7,7,7
control,6,7,7
control,6,7,7
experimental,7,7,7
control,6.666666667,7,6.333333333
experimental,7,7,7
experimental,7,7,7
experimental,5.888716641,5.666666667,5
control,5.666666667,6,5.666666667
control,5,6,5.666666667
control,6,6.468014939,6.333333333
experimental,7,7,7
control,5.988600699,5,6.333333333
experimental,6,6,7
experimental,6.333333333,6,5.333333333
experimental,6,6,6
control,7,6,7
control,4.839374321,6.333333333,5.666666667
control,6.333333333,6.314446402,6
experimental,7,7,7
experimental,7,6.666666667,6.666666667
control,7,7,7
experimental,7,6.666666667,6
experimental,6,7,6
experimental,6.666666667,7,6
experimental,7,7,6
control,5.666666667,6,6
control,6,7,7
experimental,6,7,7
experimental,6.666666667,5,7
experimental,7,7,7
experimental,6,7,7
experimental,6,7,7
experimental,7,6.333333333,6.333333333
experimental,6.333333333,7,7
control,7,6,7
control,6,7,7
control,6.666666667,6,6
experimental,6.666666667,6.666666667,6.333333333
control,6,5,6.666666667
control,4.02251361,5.333333333,5.666666667
experimental,4,6,6.333333333
experimental,5,5,6.666666667
experimental,6,7,7
experimental,6.333333333,7,6
experimental,6,5.573477777,7
control,5,5,5
control,5.666666667,6.065360671,7
control,7,7,7
experimental,7,7,7
experimental,5.884831639,7,7
experimental,7,7.079575406,7
control,5.666666667,5.666666667,6
control,7,7,7
experimental,5.333333333,6.972448301,6
experimental,7,7,7
experimental,6.333333333,7,7
experimental,7,6,7
control,6,7,7
experimental,6,4,6
experimental,6.333333333,5.666666667,6.333333333
control,6.333333333,6.666666667,7
experimental,7,6.333333333,6.333333333
experimental,6.666666667,6,7
experimental,7,7,6.666666667
experimental,5.666666667,6.666666667,6
control,6.333333333,6.666666667,7
control,5.333333333,6,7
experimental,6.666666667,6.666666667,5.666666667
control,7,7,7
experimental,5.666666667,7,7
control,5,5.333333333,5.666666667
